CMDLINE C:\Users\PaulE\HumanPoseDetection\localenv\Scripts\python.exe .\script_to_profile.py
MEM 4.136719 1758475914.1149
MEM 4.136719 1758475914.2155
MEM 4.136719 1758475914.3157
MEM 4.136719 1758475914.4164
MEM 4.136719 1758475914.5166
MEM 4.136719 1758475914.6169
MEM 4.136719 1758475914.7171
MEM 4.136719 1758475914.8177
MEM 4.136719 1758475914.9184
MEM 4.136719 1758475915.0186
MEM 4.136719 1758475915.1193
MEM 4.136719 1758475915.2196
MEM 4.136719 1758475915.3202
MEM 4.136719 1758475915.4206
MEM 4.136719 1758475915.5213
MEM 4.136719 1758475915.6219
MEM 4.136719 1758475915.7222
MEM 4.136719 1758475915.8224
MEM 4.136719 1758475915.9230
MEM 4.136719 1758475916.0235
MEM 4.136719 1758475916.1237
MEM 4.136719 1758475916.2240
MEM 4.136719 1758475916.3243
MEM 4.136719 1758475916.4249
MEM 4.136719 1758475916.5253
MEM 4.136719 1758475916.6258
MEM 4.136719 1758475916.7262
MEM 4.136719 1758475916.8265
MEM 4.136719 1758475916.9271
MEM 4.136719 1758475917.0276
MEM 4.136719 1758475917.1280
MEM 4.136719 1758475917.2286
MEM 4.136719 1758475917.3290
MEM 4.136719 1758475917.4294
MEM 4.136719 1758475917.5299
MEM 4.136719 1758475917.6304
MEM 4.136719 1758475917.7311
MEM 4.136719 1758475917.8316
MEM 4.136719 1758475917.9321
MEM 4.136719 1758475918.0327
MEM 4.136719 1758475918.1329
MEM 4.136719 1758475918.2332
MEM 4.136719 1758475918.3337
MEM 4.136719 1758475918.4343
MEM 4.136719 1758475918.5346
MEM 4.136719 1758475918.6353
MEM 4.136719 1758475918.7358
MEM 4.136719 1758475918.8363
MEM 4.136719 1758475918.9365
MEM 4.136719 1758475919.0370
MEM 4.136719 1758475919.1374
MEM 4.136719 1758475919.2384
MEM 4.136719 1758475919.3393
MEM 4.136719 1758475919.4400
MEM 4.136719 1758475919.5403
MEM 4.136719 1758475919.6405
MEM 4.136719 1758475919.7409
MEM 4.136719 1758475919.8416
MEM 4.136719 1758475919.9419
MEM 4.136719 1758475920.0424
MEM 4.136719 1758475920.1428
